# t x1 v1 x2 v2 E_kin E_pot E_tot
1.00000 -0.09847 0.05776 0.09847 -0.05776 0.00334 0.10666 0.11000
1.01000 -0.09784 0.06855 0.09784 -0.06855 0.00470 0.10530 0.11000
1.02000 -0.09710 0.07928 0.09710 -0.07928 0.00628 0.10372 0.11000
1.03000 -0.09626 0.08991 0.09626 -0.08991 0.00808 0.10192 0.11000
1.04000 -0.09530 0.10045 0.09530 -0.10045 0.01009 0.09991 0.11000
1.05000 -0.09425 0.11088 0.09425 -0.11088 0.01229 0.09771 0.11000
1.06000 -0.09309 0.12118 0.09309 -0.12118 0.01468 0.09532 0.11000
1.07000 -0.09182 0.13135 0.09182 -0.13135 0.01725 0.09275 0.11000
1.08000 -0.09046 0.14138 0.09046 -0.14138 0.01999 0.09001 0.11000
1.09000 -0.08900 0.15125 0.08900 -0.15125 0.02288 0.08712 0.11000
1.10000 -0.08744 0.16095 0.08744 -0.16095 0.02591 0.08409 0.11000
1.11000 -0.08578 0.17048 0.08578 -0.17048 0.02906 0.08094 0.11000
1.12000 -0.08403 0.17982 0.08403 -0.17982 0.03234 0.07766 0.11000
1.13000 -0.08218 0.18896 0.08218 -0.18896 0.03571 0.07429 0.11000
1.14000 -0.08025 0.19790 0.08025 -0.19790 0.03916 0.07084 0.11000
1.15000 -0.07823 0.20661 0.07823 -0.20661 0.04269 0.06731 0.11000
1.16000 -0.07612 0.21510 0.07612 -0.21510 0.04627 0.06373 0.11000
1.17000 -0.07392 0.22336 0.07392 -0.22336 0.04989 0.06011 0.11000
1.18000 -0.07165 0.23136 0.07165 -0.23136 0.05353 0.05647 0.11000
1.19000 -0.06930 0.23912 0.06930 -0.23912 0.05718 0.05282 0.11000
1.20000 -0.06687 0.24661 0.06687 -0.24661 0.06081 0.04919 0.11000
1.21000 -0.06437 0.25382 0.06437 -0.25382 0.06443 0.04557 0.11000
1.22000 -0.06179 0.26076 0.06179 -0.26076 0.06800 0.04200 0.11000
1.23000 -0.05915 0.26742 0.05915 -0.26742 0.07151 0.03849 0.11000
1.24000 -0.05645 0.27378 0.05645 -0.27378 0.07495 0.03505 0.11000
1.25000 -0.05368 0.27983 0.05368 -0.27983 0.07831 0.03169 0.11000
1.26000 -0.05085 0.28558 0.05085 -0.28558 0.08156 0.02844 0.11000
1.27000 -0.04797 0.29102 0.04797 -0.29102 0.08469 0.02531 0.11000
1.28000 -0.04503 0.29613 0.04503 -0.29613 0.08769 0.02231 0.11000
1.29000 -0.04205 0.30092 0.04205 -0.30092 0.09055 0.01945 0.11000
1.30000 -0.03901 0.30538 0.03901 -0.30538 0.09326 0.01674 0.11000
1.31000 -0.03594 0.30950 0.03594 -0.30950 0.09579 0.01421 0.11000
1.32000 -0.03282 0.31329 0.03282 -0.31329 0.09815 0.01185 0.11000
1.33000 -0.02967 0.31672 0.02967 -0.31672 0.10031 0.00969 0.11000
1.34000 -0.02649 0.31981 0.02649 -0.31981 0.10228 0.00772 0.11000
1.35000 -0.02328 0.32255 0.02328 -0.32255 0.10404 0.00596 0.11000
1.36000 -0.02004 0.32493 0.02004 -0.32493 0.10558 0.00442 0.11000
1.37000 -0.01678 0.32696 0.01678 -0.32696 0.10690 0.00310 0.11000
1.38000 -0.01350 0.32862 0.01350 -0.32862 0.10799 0.00201 0.11000
1.39000 -0.01021 0.32993 0.01021 -0.32993 0.10885 0.00115 0.11000
1.40000 -0.00691 0.33087 0.00691 -0.33087 0.10948 0.00052 0.11000
1.41000 -0.00359 0.33145 0.00359 -0.33145 0.10986 0.00014 0.11000
1.42000 -0.00028 0.33166 0.00028 -0.33166 0.11000 0.00000 0.11000
1.43000 0.00304 0.33151 -0.00304 -0.33151 0.10990 0.00010 0.11000
1.44000 0.00635 0.33099 -0.00635 -0.33099 0.10956 0.00044 0.11000
1.45000 0.00966 0.33011 -0.00966 -0.33011 0.10897 0.00103 0.11000
1.46000 0.01295 0.32887 -0.01295 -0.32887 0.10815 0.00185 0.11000
1.47000 0.01623 0.32726 -0.01623 -0.32726 0.10710 0.00290 0.11000
1.48000 0.01950 0.32530 -0.01950 -0.32530 0.10582 0.00418 0.11000
1.49000 0.02274 0.32298 -0.02274 -0.32298 0.10431 0.00569 0.11000
1.50000 0.02595 0.32030 -0.02595 -0.32030 0.10259 0.00741 0.11000
1.51000 0.02914 0.31727 -0.02914 -0.31727 0.10066 0.00934 0.11000
1.52000 0.03230 0.31389 -0.03230 -0.31389 0.09852 0.01148 0.11000
1.53000 0.03542 0.31016 -0.03542 -0.31016 0.09620 0.01380 0.11000
1.54000 0.03850 0.30610 -0.03850 -0.30610 0.09369 0.01631 0.11000
1.55000 0.04154 0.30169 -0.04154 -0.30169 0.09102 0.01898 0.11000
1.56000 0.04453 0.29696 -0.04453 -0.29696 0.08818 0.02182 0.11000
1.57000 0.04748 0.29190 -0.04748 -0.29190 0.08520 0.02480 0.11000
1.58000 0.05037 0.28652 -0.05037 -0.28652 0.08209 0.02791 0.11000
1.59000 0.05321 0.28082 -0.05321 -0.28082 0.07886 0.03114 0.11000
1.60000 0.05599 0.27481 -0.05599 -0.27481 0.07552 0.03448 0.11000
1.61000 0.05870 0.26850 -0.05870 -0.26850 0.07209 0.03791 0.11000
1.62000 0.06135 0.26190 -0.06135 -0.26190 0.06859 0.04141 0.11000
1.63000 0.06394 0.25501 -0.06394 -0.25501 0.06503 0.04497 0.11000
1.64000 0.06645 0.24784 -0.06645 -0.24784 0.06142 0.04858 0.11000
1.65000 0.06890 0.24039 -0.06890 -0.24039 0.05779 0.05221 0.11000
1.66000 0.07126 0.23268 -0.07126 -0.23268 0.05414 0.05586 0.11000
1.67000 0.07355 0.22472 -0.07355 -0.22472 0.05050 0.05950 0.11000
1.68000 0.07575 0.21650 -0.07575 -0.21650 0.04687 0.06313 0.11000
1.69000 0.07788 0.20805 -0.07788 -0.20805 0.04329 0.06671 0.11000
1.70000 0.07991 0.19937 -0.07991 -0.19937 0.03975 0.07025 0.11000
1.71000 0.08186 0.19048 -0.08186 -0.19048 0.03628 0.07372 0.11000
1.72000 0.08372 0.18137 -0.08372 -0.18137 0.03289 0.07711 0.11000
1.73000 0.08549 0.17206 -0.08549 -0.17206 0.02960 0.08040 0.11000
1.74000 0.08716 0.16256 -0.08716 -0.16256 0.02643 0.08357 0.11000
1.75000 0.08874 0.15289 -0.08874 -0.15289 0.02337 0.08663 0.11000
1.76000 0.09022 0.14304 -0.09022 -0.14304 0.02046 0.08954 0.11000
1.77000 0.09160 0.13304 -0.09160 -0.13304 0.01770 0.09230 0.11000
1.78000 0.09288 0.12290 -0.09288 -0.12290 0.01510 0.09490 0.11000
1.79000 0.09406 0.11261 -0.09406 -0.11261 0.01268 0.09732 0.11000
1.80000 0.09513 0.10221 -0.09513 -0.10221 0.01045 0.09955 0.11000
1.81000 0.09610 0.09169 -0.09610 -0.09169 0.00841 0.10159 0.11000
1.82000 0.09697 0.08107 -0.09697 -0.08107 0.00657 0.10343 0.11000
1.83000 0.09772 0.07036 -0.09772 -0.07036 0.00495 0.10505 0.11000
1.84000 0.09837 0.05957 -0.09837 -0.05957 0.00355 0.10645 0.11000
1.85000 0.09892 0.04872 -0.09892 -0.04872 0.00237 0.10763 0.11000
1.86000 0.09935 0.03781 -0.09935 -0.03781 0.00143 0.10857 0.11000
1.87000 0.09967 0.02687 -0.09967 -0.02687 0.00072 0.10928 0.11000
1.88000 0.09989 0.01589 -0.09989 -0.01589 0.00025 0.10975 0.11000
1.89000 0.09999 0.00490 -0.09999 -0.00490 0.00002 0.10998 0.11000
1.90000 0.09998 -0.00610 -0.09998 0.00610 0.00004 0.10996 0.11000
1.91000 0.09987 -0.01710 -0.09987 0.01710 0.00029 0.10971 0.11000
1.92000 0.09964 -0.02807 -0.09964 0.02807 0.00079 0.10921 0.11000
1.93000 0.09931 -0.03901 -0.09931 0.03901 0.00152 0.10848 0.11000
1.94000 0.09886 -0.04991 -0.09886 0.04991 0.00249 0.10751 0.11000
1.95000 0.09831 -0.06076 -0.09831 0.06076 0.00369 0.10631 0.11000
1.96000 0.09765 -0.07154 -0.09765 0.07154 0.00512 0.10488 0.11000
1.97000 0.09688 -0.08224 -0.09688 0.08224 0.00676 0.10324 0.11000
1.98000 0.09600 -0.09285 -0.09600 0.09285 0.00862 0.10138 0.11000
1.99000 0.09502 -0.10335 -0.09502 0.10335 0.01068 0.09932 0.11000
2.00000 0.09394 -0.11375 -0.09394 0.11375 0.01294 0.09706 0.11000
2.01000 0.09275 -0.12401 -0.09275 0.12401 0.01538 0.09462 0.11000
2.02000 0.09146 -0.13415 -0.09146 0.13415 0.01800 0.09200 0.11000
2.03000 0.09006 -0.14413 -0.09006 0.14413 0.02077 0.08923 0.11000
2.04000 0.08857 -0.15396 -0.08857 0.15396 0.02370 0.08630 0.11000
2.05000 0.08699 -0.16361 -0.08699 0.16361 0.02677 0.08323 0.11000
2.06000 0.08530 -0.17309 -0.08530 0.17309 0.02996 0.08004 0.11000
2.07000 0.08352 -0.18238 -0.08352 0.18238 0.03326 0.07674 0.11000
2.08000 0.08165 -0.19146 -0.08165 0.19146 0.03666 0.07334 0.11000
2.09000 0.07970 -0.20034 -0.07970 0.20034 0.04014 0.06986 0.11000
2.10000 0.07765 -0.20899 -0.07765 0.20899 0.04368 0.06632 0.11000
2.11000 0.07552 -0.21742 -0.07552 0.21742 0.04727 0.06273 0.11000
