# t x1 v1 x2 v2 E_kin E_pot E_tot
0.99000 0.05077 -0.09036 -0.05077 0.09036 0.00817 0.00283 0.01100
1.00000 0.04986 -0.09091 -0.04986 0.09091 0.00827 0.00273 0.01100
1.01000 0.04895 -0.09146 -0.04895 0.09146 0.00836 0.00264 0.01100
1.02000 0.04803 -0.09199 -0.04803 0.09199 0.00846 0.00254 0.01100
1.03000 0.04711 -0.09251 -0.04711 0.09251 0.00856 0.00244 0.01100
1.04000 0.04618 -0.09303 -0.04618 0.09303 0.00865 0.00235 0.01100
1.05000 0.04525 -0.09353 -0.04525 0.09353 0.00875 0.00225 0.01100
1.06000 0.04431 -0.09402 -0.04431 0.09402 0.00884 0.00216 0.01100
1.07000 0.04337 -0.09450 -0.04337 0.09450 0.00893 0.00207 0.01100
1.08000 0.04242 -0.09498 -0.04242 0.09498 0.00902 0.00198 0.01100
1.09000 0.04147 -0.09544 -0.04147 0.09544 0.00911 0.00189 0.01100
1.10000 0.04051 -0.09589 -0.04051 0.09589 0.00919 0.00181 0.01100
1.11000 0.03955 -0.09633 -0.03955 0.09633 0.00928 0.00172 0.01100
1.12000 0.03859 -0.09676 -0.03859 0.09676 0.00936 0.00164 0.01100
1.13000 0.03762 -0.09718 -0.03762 0.09718 0.00944 0.00156 0.01100
1.14000 0.03664 -0.09759 -0.03664 0.09759 0.00952 0.00148 0.01100
1.15000 0.03566 -0.09798 -0.03566 0.09798 0.00960 0.00140 0.01100
1.16000 0.03468 -0.09837 -0.03468 0.09837 0.00968 0.00132 0.01100
1.17000 0.03370 -0.09875 -0.03370 0.09875 0.00975 0.00125 0.01100
1.18000 0.03271 -0.09911 -0.03271 0.09911 0.00982 0.00118 0.01100
1.19000 0.03171 -0.09947 -0.03171 0.09947 0.00989 0.00111 0.01100
1.20000 0.03072 -0.09981 -0.03072 0.09981 0.00996 0.00104 0.01100
1.21000 0.02972 -0.10014 -0.02972 0.10014 0.01003 0.00097 0.01100
1.22000 0.02871 -0.10046 -0.02871 0.10046 0.01009 0.00091 0.01100
1.23000 0.02771 -0.10077 -0.02771 0.10077 0.01016 0.00084 0.01100
1.24000 0.02670 -0.10107 -0.02670 0.10107 0.01022 0.00078 0.01100
1.25000 0.02569 -0.10136 -0.02569 0.10136 0.01027 0.00073 0.01100
1.26000 0.02467 -0.10164 -0.02467 0.10164 0.01033 0.00067 0.01100
1.27000 0.02365 -0.10190 -0.02365 0.10190 0.01038 0.00062 0.01100
1.28000 0.02263 -0.10216 -0.02263 0.10216 0.01044 0.00056 0.01100
1.29000 0.02161 -0.10240 -0.02161 0.10240 0.01049 0.00051 0.01100
1.30000 0.02059 -0.10263 -0.02059 0.10263 0.01053 0.00047 0.01100
1.31000 0.01956 -0.10286 -0.01956 0.10286 0.01058 0.00042 0.01100
1.32000 0.01853 -0.10306 -0.01853 0.10306 0.01062 0.00038 0.01100
1.33000 0.01750 -0.10326 -0.01750 0.10326 0.01066 0.00034 0.01100
1.34000 0.01646 -0.10345 -0.01646 0.10345 0.01070 0.00030 0.01100
1.35000 0.01543 -0.10363 -0.01543 0.10363 0.01074 0.00026 0.01100
1.36000 0.01439 -0.10379 -0.01439 0.10379 0.01077 0.00023 0.01100
1.37000 0.01335 -0.10394 -0.01335 0.10394 0.01080 0.00020 0.01100
1.38000 0.01231 -0.10408 -0.01231 0.10408 0.01083 0.00017 0.01100
1.39000 0.01127 -0.10421 -0.01127 0.10421 0.01086 0.00014 0.01100
1.40000 0.01023 -0.10433 -0.01023 0.10433 0.01088 0.00012 0.01100
1.41000 0.00918 -0.10444 -0.00918 0.10444 0.01091 0.00009 0.01100
1.42000 0.00814 -0.10453 -0.00814 0.10453 0.01093 0.00007 0.01100
1.43000 0.00709 -0.10462 -0.00709 0.10462 0.01094 0.00006 0.01100
1.44000 0.00605 -0.10469 -0.00605 0.10469 0.01096 0.00004 0.01100
1.45000 0.00500 -0.10475 -0.00500 0.10475 0.01097 0.00003 0.01100
1.46000 0.00395 -0.10480 -0.00395 0.10480 0.01098 0.00002 0.01100
1.47000 0.00290 -0.10484 -0.00290 0.10484 0.01099 0.00001 0.01100
1.48000 0.00186 -0.10486 -0.00186 0.10486 0.01100 0.00000 0.01100
1.49000 0.00081 -0.10488 -0.00081 0.10488 0.01100 0.00000 0.01100
1.50000 -0.00024 -0.10488 0.00024 0.10488 0.01100 0.00000 0.01100
1.51000 -0.00129 -0.10487 0.00129 0.10487 0.01100 0.00000 0.01100
1.52000 -0.00234 -0.10485 0.00234 0.10485 0.01099 0.00001 0.01100
1.53000 -0.00339 -0.10482 0.00339 0.10482 0.01099 0.00001 0.01100
1.54000 -0.00444 -0.10478 0.00444 0.10478 0.01098 0.00002 0.01100
1.55000 -0.00548 -0.10472 0.00548 0.10472 0.01097 0.00003 0.01100
1.56000 -0.00653 -0.10466 0.00653 0.10466 0.01095 0.00005 0.01100
1.57000 -0.00758 -0.10458 0.00758 0.10458 0.01094 0.00006 0.01100
1.58000 -0.00862 -0.10449 0.00862 0.10449 0.01092 0.00008 0.01100
1.59000 -0.00967 -0.10439 0.00967 0.10439 0.01090 0.00010 0.01100
1.60000 -0.01071 -0.10428 0.01071 0.10428 0.01087 0.00013 0.01100
